"Início dos relatórios","Término dos relatórios","Nome da campanha",Resultados,"Indicador de resultados","CPM (custo por 1.000 impressões) (BRL)",Frequência,"Custo por resultados",Impressões,"Valor usado (BRL)","Custo por compra (BRL)","Retorno sobre o investimento em publicidade (ROAS) das compras",Alcance,"CPC (custo por clique no link) (BRL)","Cliques únicos (todos)"
2021-05-01,2024-01-01,MENSAGEM,13,actions:onsite_conversion.messaging_conversation_started_7d,11.915689,1.319373,18.13384615,19784,235.74,,,14995,5.612857,228
2021-05-01,2024-01-01,MENSAGEM,470,actions:onsite_conversion.messaging_conversation_started_7d,9.968646,3.030348,9.76138298,460228,4587.85,,,151873,2.734118,4990
2021-05-01,2024-01-01,TRÁFEGO,,,0,0,,0,0,,,0,,0
2021-05-01,2024-01-01,ALCANCE,,,2.204633,1.023228,,43082,94.98,,,42104,,39
2021-05-01,2024-01-01,MENUDINO,387,actions:link_click,8.486839,1.226545,0.48739018,22225,188.62,,,18120,0.48739,798
2021-05-01,2024-01-01,"MENSAGEM 2",,,0,0,,0,0,,,0,,0
2021-05-01,2024-01-01,"MENSAGEM 2",7,actions:onsite_conversion.messaging_conversation_started_7d,11.775246,1.213566,14.17571429,8427,99.23,,,6944,4.314348,88
2021-05-01,2024-01-01,"MENSAGEM 3",323,actions:onsite_conversion.messaging_conversation_started_7d,6.577789,2.705824,8.63291022,423916,2788.43,,,156668,2.115653,4418
2021-05-01,2024-01-01,TRÁFEGO,462,actions:link_click,6.76069,1.30435,0.9452381,64594,436.7,,,49522,0.945238,679
2021-05-01,2024-01-01,"Hackr Ads - Inca Sushi",,,0,0,,0,0,,,0,,0
2021-05-01,2024-01-01,"TRÁFEGO 2",,,3.4375,1,,32,0.11,,,32,,0
2021-05-01,2024-01-01,"VENDER DIRETAMENTE",,,7.019648,1.116842,,3919,27.51,,,3509,1.196087,52
2021-05-01,2024-01-01,ENGAJAMENTO,,,8.822333,1.650414,,126326,1114.49,,,76542,5.065864,779
2021-05-01,2024-01-01,ALCANCE,,,0.972028,1,,5720,5.56,,,5720,,5
2021-05-01,2024-01-01,"Publicação do Instagram: Se você mora perto da...",,,6.666667,1.004464,,225,1.5,,,224,,0
2021-05-01,2024-01-01,"Publicação do Instagram: Está com fome e não sabe...",6,actions:link_click,7.837699,1.02044,2.54333333,1947,15.26,,,1908,2.543333,6
2021-05-01,2024-01-01,"Publicação do Instagram: É o toque final que faz...",1,actions:link_click,7.445545,1.012024,7.52,1010,7.52,,,998,7.52,1
2021-05-01,2024-01-01,"Inca Sushi Culinária Nikkei - Page Post Engagement",25,actions:post_engagement,11.564626,1.017301,0.136,294,3.4,,,289,,2
2021-05-01,2024-01-01,"Publicação do Instagram: Nosso box salmão é tudo...",11,actions:link_click,8.218891,1.039265,2.49181818,3335,27.41,,,3209,2.491818,10
2021-05-01,2024-01-01,SITE,60,actions:link_click,13.360834,1.108733,1.4305,6424,85.83,,,5794,1.4305,61
2021-05-01,2024-01-01,"Campanha de vendas personalizada 20/3/2023 Campanha",,,4.814815,1.025316,,81,0.39,,,79,,0
2021-05-01,2024-01-01,PERSEGUIÇÃO,,,2.892955,1.023966,,34864,100.86,,,34048,33.62,130
2021-05-01,2024-01-01,Vendas,33,actions:offsite_conversion.fb_pixel_initiate_checkout,8.197186,1.488251,13.59242424,54720,448.55,,,36768,0.803853,1320
2021-05-01,2024-01-01,Alcance,,,1.485336,2.376425,,177172,263.16,,,74554,26.316,227
2021-05-01,2024-01-01,MENSAGEM,12,actions:onsite_conversion.messaging_conversation_started_7d,14.656203,1.243494,9.805,8028,117.66,,,6456,2.736279,179
