;PRODUTOS PREPARADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Molho Acevichado;;;;;Molho Seiji;;;;;Molho Tusán;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO;VALOR;;;;;;;;;;;;;;
;Limão Tahiti;100; R$1,60 ; R$0,16 ;;Ovo;60; R$10,00 ; R$0,60 ;;Molho Agridoce;400; R$25,80 ; R$10,32 ;;;;;;;;;;;;;;
;Sal;20; R$1,45 ; R$0,03 ;;Cebolinha;10; R$2,59 ; R$0,03 ;;Açúcar;100; R$3,70 ; R$0,37 ;;;;;;;;;;;;;;
;Glutamato;5; R$27,90 ; R$0,14 ;;Sal;5; R$1,45 ; R$0,01 ;;Vinagre;70; R$2,10 ; R$0,15 ;;;;;;;;;;;;;;
;Hondashi;5; R$92,91 ; R$0,46 ;;Hondashi;5; R$92,91 ; R$0,46 ;;Shoyu;20; R$36,67 ; R$0,73 ;;;;;;;;;;;;;;
;Togarashi;1; R$376,83 ; R$0,38 ;;Água sem Gás;50; R$1,78 ; R$0,09 ;;Molho Inglês;5; R$34,83 ; R$0,17 ;;;;;;;;;;;;;;
;Pimenta Preta;1;  ;  ;;Alho;10; R$22,90 ; R$0,23 ;;Gengibre;15; R$22,90 ; R$0,34 ;;;;;;;;;;;;;;
;Alho;10; R$22,90 ; R$0,23 ;;Chimichurri;15; R$7,48 ; R$0,11 ;;;;  ;  ;;;;;;;;;;;;;;
;Cebola Roxa;20; R$5,99 ; R$0,12 ;;Fumaça Líquida;15; R$29,90 ; R$0,45 ;;;;  ;  ;;;;;;;;;;;;;;
;Coentro;5; R$1,99 ; R$0,01 ;;Óleo de Soja;250; R$8,40 ; R$2,10 ;;;;  ;  ;;;;;;;;;;;;;;
;Salsão;5;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Gengibre;3; R$22,90 ; R$0,07 ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Dedo de moça;40; R$21,99 ; R$0,88 ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Óleo de Soja;375; R$8,40 ; R$3,15 ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Ovo;120; R$10,00 ; R$1,20 ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Peso Total;710;; R$6,83 ;;Peso Total;420;; R$4,08 ;;Peso Total;610;; R$12,09 ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;725;PREÇO/KG ?; R$9,42 ;;PESO DEPOIS DE PRONTO;420;PREÇO/KG ?; R$9,71 ;;PESO DEPOIS DE PRONTO;610;PREÇO/KG ?; R$19,82 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Molho Fuji;;;;;Cha Siu;;;;;Su;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;Maionese;200; R$14,83 ; R$2,97 ;;Char Siu;45; R$94,86 ; R$4,27 ;;Vinagre;5000; R$2,10 ; R$10,50 ;;;;;;;;;;;;;;
;Glicose;120; R$37,11 ; R$4,45 ;;Cachaça;30; R$12,23 ; R$0,37 ;;Açúcar;3750; R$3,70 ; R$13,88 ;;;;;;;;;;;;;;
;Mostarda;60; R$11,08 ; R$0,67 ;;Shoyu;30; R$36,67 ; R$1,10 ;;Sal;500; R$1,45 ; R$0,73 ;;;;;;;;;;;;;;
;Tarê Kikkoman;20; R$9,58 ; R$0,19 ;;Óleo de Gergelim;15; R$68,31 ; R$1,02 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Canela Chinesa;5;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Pimenta Branca;2,5;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
