Category,Product,Ingredient,Weight (g),Price/kg,Total Price
Molho Acevichado,Limão Tahiti,100,1.60,0.16
Molho Acevichado,Sal,20,1.45,0.03
Molho Acevichado,Glutamato,5,27.90,0.14
Molho Acevichado,Hondashi,5,92.91,0.46
Molho Acevichado,Togarashi,1,376.83,0.38
Molho Acevichado,Pimenta Preta,1,,,
Molho Acevichado,Alho,10,22.90,0.23
Molho Acevichado,Cebola Roxa,20,5.99,0.12
Molho Acevichado,Coentro,5,1.99,0.01
Molho Acevichado,Salsão,5,,,
Molho Acevichado,Gengibre,3,22.90,0.07
Molho Acevichado,Dedo de moça,40,21.99,0.88
Molho Acevichado,Óleo de Soja,375,8.40,3.15
Molho Acevichado,Ovo,120,10.00,1.20
Molho Acevichado,Peso Total,710,,6.83
Molho Acevichado,Peso Depois de Pronto,725,,9.42

Molho Seiji,Ovo,60,10.00,0.60
Molho Seiji,Cebolinha,10,2.59,0.03
Molho Seiji,Sal,5,1.45,0.01
Molho Seiji,Hondashi,5,92.91,0.46
Molho Seiji,Água sem Gás,50,1.78,0.09
Molho Seiji,Alho,10,22.90,0.23
Molho Seiji,Chimichurri,15,7.48,0.11
Molho Seiji,Fumaça Líquida,15,29.90,0.45
Molho Seiji,Óleo de Soja,250,8.40,2.10
Molho Seiji,Peso Total,420,,4.08
Molho Seiji,Peso Depois de Pronto,420,,9.71

Molho Tusán,Molho Agridoce,400,25.80,10.32
Molho Tusán,Açúcar,100,3.70,0.37
Molho Tusán,Vinagre,70,2.10,0.15
Molho Tusán,Shoyu,20,36.67,0.73
Molho Tusán,Molho Inglês,5,34.83,0.17
Molho Tusán,Gengibre,15,22.90,0.34
Molho Tusán,Peso Total,610,,12.09
Molho Tusán,Peso Depois de Pronto,610,,19.82

Molho Fuji,Maionese,200,14.83,2.97
Molho Fuji,Glicose,120,37.11,4.45
Molho Fuji,Mostarda,60,11.08,0.67
Molho Fuji,Tarê Kikkoman,20,9.58,0.19
Molho Fuji,Peso Total,400,,8.28
Molho Fuji,Peso Depois de Pronto,400,,20.69

Cha Siu,Char Siu,45,94.86,4.27
Cha Siu,Cachaça,30,12.23,0.37
Cha Siu,Shoyu,30,36.67,1.10
Cha Siu,Óleo de Gergelim,15,68.31,1.02
Cha Siu,Canela Chinesa,5,,,
Cha Siu,Pimenta Branca,2.5,,,
Cha Siu,Peso Total,127.5,,6.76
Cha Siu,Peso Depois de Pronto,127.5,,53.02

Su,Vinagre,5000,2.10,10.50
Su,Açúcar,3750,3.70,13.88
Su,Sal,500,1.45,0.73
Su,Peso Total,9250,,25.10
Su,Peso Depois de Pronto,11500,,2.18
